Company	Paddle	Core Thickness (mm)	Condition	Price	Shape	Manufacturing Process	Surface Texture	Surface Material	Core Material	Spin RPM	Spin Percentile	Length (in)	Width (in)	Handle Length (in)	Static Weight (oz)	Swing Weight	Swing Weight Percentile	Twist Weight	Twist Weight Percentile	Balance Point (cm)	Balance Point Percentile	Serve Speed-MPH (Power)	Power Percentile	Punch Volley Speed-MPH (Pop)	Pop Percentile	Surface Hardness (Shore D)
Bird	Ball Hawk Classic	14	New	199.0	Standard	Cold Layered	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	2,099	73%	16	8	4.75	7.9	106	11%	7.05	93%	23.5	27%	51.3	4%	32.4	9%	89
Bread & Butter	Filth	16	New	165.0	Elongated	Thermoformed	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	1,865	40%	16.5	7.4	5.5	7.9	121	72%	6.2	52%	24.2	65%	55.2	71%	35.6	82%	88.7
Bread & Butter	Loco	16	New	165.0	Hybrid	Thermoformed	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	2,091	71%	16.3	7.7	5.3	7.7	114	39%	6.1	43%	24.1	60%	54.6	51%	35.2	78%	91.3
Cheetah	Predion E16 Edgeless	16	New	200.0	Elongated	Thermoformed	Grit	3K Woven Carbon Fiber	Aramid Fiber Honeycomb	1,556	19%	16.5	7.5	5.5	7.7	106	11%	5.37	13%	23.3	24%	52.8	22%	34.3	38%	89.5
Cheetah	Predion E16-with lead tape	16	New	200.0	Elongated	Thermoformed	Grit	3K Woven Carbon Fiber	Aramid Fiber Honeycomb	1,556	19%	16.5	7.5	5.5	8.4	115	47%	7.23	95%	23.5	27%	54.1	41%	34.3	38%	89.5
CRBN 1	CRBN1 Control	14	New	179.99	Elongated	Cold Layered	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	2,171	81%	16.5	7.3	5.5	7.9											
CRBN 1	CRBN1 Control (USAP-Banned 2021)	14	New	179.99	Elongated	Cold Layered	Peel Ply-Coarse	T700 Carbon Fiber	Polypropylene Honeycomb	1,943	50%	16.5	7.3	5.5	7.9											
Diadem	Icon V2 XL	13.7	New	199.95	Standard	Hot Molded	Grit	Carbon Fiber (Japanese-Sourced)	Polypropylene Honeycomb (2 sheets)	1,718	22%	16	7.6	5.25	8.2	125	88%	5.69	16%	24.5	78%	54.2	43%	35	66%	85.8
Electrum	Model E Elite	16	New	199.99	Elongated	Thermoformed	Peel Ply-Coarse	Toray Carbon Fiber	Polypropylene Honeycomb	2,028	59%	16.5	7.4	5.25	8.4	124	86%	7.14	94%	24.7	89%	55.7	87%	35.7	86%	87.7
Gearbox	CX11E Power	14	Used-3 months	199.99	Elongated	Unibody Edgeless	Grit	3K Woven Carbon Fiber	Toray T700 Carbon Fiber	1,480	16%	16.6	8	5.38	7.8	98	4%	4.69	1%			47.8	0%	31.5	4%	
Gearbox	CX14E	14	Used-1 month	199.99	Elongated	Unibody Edgeless	Grit	3K Woven Carbon Fiber	Toray T700 Carbon Fiber	1,523	17%	16.6	7.4	5.38	8	101	6%	4.32	0%							
